Week,Quarter,Store, Total , CHRISTMAS , CLEARANCE , CLEARENCE , CONFECTIONERY , DIY , ELECTRICAL , FOOD , FROZEN FOOD , DD Gardening , GARDENING , GIFTWARES , Grocery Seasonal , DD Paint , H&B Gift , HEALTH & BEAUTY , HOMEWARES , HOUSEHOLD TEXTILES , INDOOR FURNITURE , INTERNAL USE , PAPER GOODS & CLEANING , PET FOOD , SOFT DRINKS , STATIONERY , TEXTILES , TOYS , NON ALCOHOLIC DRINKS 
31,3, Homesavers Newcastle West ,"€36,785.81", € -   ,€0.50, € -   ,"€2,613.33","€1,641.06","€3,359.92","€3,574.68", € -   ,€36.52,"€1,287.42","€2,024.74",€28.07,€201.17,€714.47,"€3,832.87","€2,352.00","€1,964.37","€1,063.74", € -   ,"€3,866.37","€1,986.72","€1,151.64",€913.84,€262.67,"€3,909.71", € -   
31,3, Homesavers Portlaoise ,"€8,182.99",€10.51,€20.96, € -   ,€73.06,€782.69,"€1,231.91",€99.39, € -   , € -   ,€792.33,€745.30,€6.99,€156.82,€68.47,€3.60,"€1,223.41",€695.54,€738.14, € -   ,€14.64, € -   ,€382.64,€229.40,€27.33,€879.86, € -   
31,3, Homesavers Lismard Portlaoise (B) ,"€4,999.78", € -   , € -   , € -   ,€502.38, € -   , € -   ,€695.81, € -   , € -   ,€42.06,€211.07,€25.86, € -   ,€175.37,"€1,105.48",€62.50, € -   , € -   , € -   ,"€1,178.81",€659.55,€306.91, € -   , € -   ,€33.98, € -   
31,3, Homesavers Riverside Galway ,"€14,647.90", € -   , € -   , € -   ,€911.81,"€1,065.95","€1,523.17",€792.40, € -   ,€5.27,€477.19,€951.97,€55.38,€62.81,€324.05,€921.77,"€1,872.75",€607.58,€907.36, € -   ,"€1,478.54",€733.42,€642.95,€254.24,€31.30,"€1,027.99", € -   
31,3, Homesavers Roscommon ,"€66,064.56",€1.99, € -   , € -   ,"€2,984.64","€4,314.08","€5,559.50","€3,532.26", € -   ,"€3,174.32","€3,525.92","€2,957.84",€30.52,€457.61,€915.21,"€3,662.71","€7,687.21","€5,286.88","€2,812.07", € -   ,"€5,190.30","€2,791.14","€2,141.60","€2,787.67",€418.83,"€5,826.27",€5.99
31,3, Homesavers Stranorlar business park ,"€15,543.89", € -   , € -   , € -   ,"€1,027.85",€511.53,"€1,173.21","€1,314.02", € -   ,€3.50,€396.49,"€1,195.44",€5.68, € -   ,€269.58,"€1,215.22","€1,652.16",€911.05,€413.63, € -   ,"€1,360.94",€557.48,€959.04,€451.63,€132.32,"€1,993.12", € -   
31,3, Homesavers Swinford ,"€6,297.00", € -   , € -   , € -   ,€544.67,€103.07,€369.39,€628.33, € -   , € -   ,€362.88,€602.41,€6.12, € -   ,€248.66,€322.61,€605.86,€375.40,€107.46, € -   ,€494.72,€297.86,€478.92,€103.17,€49.02,€596.45, € -   
31,3, Homesavers Broomhill Tallaght ,"€41,654.66", € -   , € -   , € -   ,"€3,377.67","€1,445.19","€2,215.69","€5,923.10", € -   ,€369.71,"€1,805.21","€2,131.45",€53.59,€216.34,€781.12,"€2,948.88","€3,400.81","€1,943.41","€2,961.82", € -   ,"€4,244.46","€1,407.39","€2,020.93","€1,387.51",€325.97,"€2,689.37",€5.04
31,3, Homesavers The Glebe Donegal ,"€26,673.58", € -   , € -   , € -   ,"€1,653.19",€823.72,"€2,072.34","€2,461.41", € -   ,€2.90,€691.13,"€1,960.67",€13.24, € -   ,€522.52,"€2,171.23","€3,078.96","€2,288.34",€991.82, € -   ,"€2,297.99",€907.60,"€1,363.31",€589.80,€373.44,"€2,409.97", € -   
31,3, Homesavers Tralee ,"€27,007.65",€8.36, € -   , € -   ,"€2,663.39",€332.05,"€1,768.12","€2,688.74", € -   ,€38.83,€756.35,"€1,769.64",€63.24, € -   ,€550.36,"€2,179.30","€2,899.65",€976.84,"€2,593.80", € -   ,"€2,526.42","€1,591.50",€982.07,€714.14,€222.23,"€1,682.62", € -   
